user_id,date,exercise_name,sets,reps,weight,target_reps,target_weight,RPE,experience_level,goal,session_number,days_since_last,volume,primary_muscle,equipment,is_compound,difficulty
1,2025-02-12,Incline Cable Chest Press,3,11,36.41,12,39.21,9.0,beginner,maintenance,1,0,1201.3956965497205,chest,cable,True,beginner
1,2025-02-12,Superman,3,10,0.0,12,0.0,10.0,beginner,maintenance,1,0,0.0,back,bodyweight,True,beginner
1,2025-02-12,Knee Across The Body,3,13,0.0,12,0.0,7.3,beginner,maintenance,1,0,0.0,legs,bodyweight,True,beginner
1,2025-02-12,Front Cable Raise,3,12,12.86,12,12.57,7.6,beginner,maintenance,1,0,463.0526407856298,shoulders,cable,False,beginner
1,2025-02-12,Cable Russian Twists,3,10,0.0,12,0.0,9.5,beginner,maintenance,1,0,0.0,core,cable,False,beginner
1,2025-02-12,Isometric Neck Exercise - Sides,3,11,0.0,12,0.0,8.0,beginner,maintenance,1,0,0.0,neck,bodyweight,False,beginner
1,2025-02-15,Push-Up Wide,3,13,0.0,12,0.0,8.2,beginner,maintenance,2,3,0.0,chest,bodyweight,True,beginner
1,2025-02-15,One Arm Against Wall,3,12,0.0,12,0.0,7.0,beginner,maintenance,2,3,0.0,back,bodyweight,False,beginner
1,2025-02-15,Standing Hip Flexors,3,13,0.0,12,0.0,7.4,beginner,maintenance,2,3,0.0,legs,bodyweight,False,beginner
1,2025-02-15,Standing Low-Pulley Deltoid Raise,3,12,21.36,13,22.58,9.0,beginner,maintenance,2,3,769.0896698922853,shoulders,cable,True,beginner
1,2025-02-15,Linear 3-Part Start Technique,3,12,0.0,12,0.0,7.5,beginner,maintenance,2,3,0.0,legs,bodyweight,True,beginner
1,2025-02-15,Crunch - Hands Overhead,3,12,0.0,13,0.0,8.8,beginner,maintenance,2,3,0.0,core,bodyweight,False,beginner
1,2025-02-18,Elbows Back,3,12,0.0,12,0.0,7.7,beginner,maintenance,3,3,0.0,chest,bodyweight,True,beginner
1,2025-02-18,Side-Lying Floor Stretch,3,13,0.0,12,0.0,7.3,beginner,maintenance,3,3,0.0,back,bodyweight,False,beginner
1,2025-02-18,Single Leg Butt Kick,3,12,0.0,12,0.0,8.3,beginner,maintenance,3,3,0.0,legs,bodyweight,True,beginner
1,2025-02-18,Cable Internal Rotation,3,12,12.54,12,11.95,7.6,beginner,maintenance,3,3,451.36767316441285,shoulders,cable,False,beginner
1,2025-02-18,Crunch - Hands Overhead,3,14,0.0,13,0.0,7.3,beginner,maintenance,3,3,0.0,core,bodyweight,False,beginner
1,2025-02-18,Stomach Vacuum,3,12,0.0,13,0.0,8.0,beginner,maintenance,3,3,0.0,core,bodyweight,False,beginner
1,2025-02-21,Incline Push-Up Medium,3,12,0.0,12,0.0,8.0,beginner,maintenance,4,3,0.0,chest,bodyweight,True,beginner
1,2025-02-21,Standing Pelvic Tilt,3,13,0.0,13,0.0,7.7,beginner,maintenance,4,3,0.0,back,bodyweight,True,beginner
1,2025-02-21,90/90 Hamstring,3,11,0.0,12,0.0,8.9,beginner,maintenance,4,3,0.0,legs,bodyweight,True,beginner
1,2025-02-21,Kneeling Arm Drill,3,12,0.0,13,0.0,8.6,beginner,maintenance,4,3,0.0,shoulders,bodyweight,True,beginner
1,2025-02-21,Cable Crunch,3,12,0.0,12,0.0,7.9,beginner,maintenance,4,3,0.0,core,cable,False,beginner
1,2025-02-21,Dynamic Back Stretch,3,12,0.0,13,0.0,8.7,beginner,maintenance,4,3,0.0,back,bodyweight,False,beginner
1,2025-02-24,Cable Chest Press,3,12,43.37,13,44.01,8.4,beginner,maintenance,5,3,1561.4135196695033,chest,cable,True,beginner
1,2025-02-24,Child's Pose,3,10,0.0,12,0.0,9.6,beginner,maintenance,5,3,0.0,back,bodyweight,True,beginner
1,2025-02-24,Linear Acceleration Wall Drill,3,12,0.0,12,0.0,7.5,beginner,maintenance,5,3,0.0,legs,bodyweight,True,beginner
1,2025-02-24,Seated Cable Shoulder Press,3,13,29.47,13,28.03,7.4,beginner,maintenance,5,3,1149.189326510626,shoulders,cable,True,beginner
1,2025-02-24,Leg-Up Hamstring Stretch,3,12,0.0,13,0.0,8.9,beginner,maintenance,5,3,0.0,legs,bodyweight,False,beginner
